Mes,Año,Precio_aprox,Error_absoluto,Error_relativo_porcentual
Enero,2022,820.0,2.05,0.24938
Febrero,2022,810.0,2.93,0.36304
Marzo,2022,800.0,0.81,0.10135
Abril,2022,820.0,4.88,0.59868
Mayo,2022,850.0,0.61,0.07182
Junio,2022,860.0,2.23,0.25998
Julio,2022,950.0,3.71,0.38901
Agosto,2022,900.0,4.35,0.48101
Septiembre,2022,920.0,1.01,0.10966
Octubre,2022,960.0,4.11,0.42997
Noviembre,2022,920.0,2.95,0.32168
Diciembre,2022,880.0,4.34,0.49563
Enero,2023,830.0,3.66,0.44292
Febrero,2023,800.0,1.74,0.21797
Marzo,2023,810.0,0.5,0.06177
Abril,2023,800.0,3.84,0.47771
Mayo,2023,800.0,1.36,0.17029
Junio,2023,800.0,0.13,0.01625
Julio,2023,810.0,3.4,0.418
Agosto,2023,860.0,4.34,0.50721
Septiembre,2023,880.0,4.4,0.49751
Octubre,2023,930.0,3.65,0.39402
Noviembre,2023,890.0,3.39,0.38236
Diciembre,2023,870.0,4.67,0.53392
Enero,2024,910.0,2.01,0.22137
Febrero,2024,960.0,3.44,0.35705
Marzo,2024,970.0,2.07,0.21386
Abril,2024,960.0,0.14,0.01458
Mayo,2024,920.0,2.12,0.23097
Junio,2024,930.0,3.92,0.42329
Julio,2024,940.0,2.44,0.26025
Agosto,2024,930.0,0.1,0.01075
Septiembre,2024,930.0,3.79,0.40919
Octubre,2024,930.0,3.81,0.40801
Noviembre,2024,970.0,1.6,0.16468
Diciembre,2024,980.0,2.3,0.23414
Enero,2025,1000.0,0.76,0.07594
Febrero,2025,960.0,3.38,0.35333
Marzo,2025,930.0,2.55,0.27344
Abril,2025,960.0,1.96,0.20375
Mayo,2025,940.0,1.01,0.10733
Junio,2025,940.0,1.96,0.20895
Julio,2025,950.0,1.55,0.16289
Agosto,2025,970.0,3.7,0.3829
Septiembre,2025,960.0,0.37,0.03853
Octubre,2025,950.0,3.97,0.41616
Noviembre,2025,940.0,4.3,0.45955
Diciembre,2025,920.0,3.84,0.41914
